TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
10026014	SkillChip1	SkillChip1	▢FFFFFF00闪现技能书碎片	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip	▢FFFFFF00Чип навыка вспышки	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip	▢FFFFFF00ส่วน การออกมาเร็ว	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip	▢FFFFFF00Flash skill book chip
10026015	SkillChip2	SkillChip2	▢FFFFFF00加速技能书碎片	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip	▢FFFFFF00Чип навыка скорости	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip	▢FFFFFF00ส่วน การเสริมความเร็ว	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip	▢FFFFFF00Speed skill book chip
10026016	SkillChip3	SkillChip3	▢FFFFFF00隐身技能书碎片	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Чип навыка невидимости	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00ส่วน การซ่อนตัว	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip	▢FFFFFF00Invisibility skill book chip
10026017	SkillChip4	SkillChip4	▢FFFFFF00飞行技能书碎片	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip	▢FFFFFF00Чип навыка полёта	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip	▢FFFFFF00ส่วน การบิน	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip	▢FFFFFF00Fly skill book chip
10026018	SkillChip5	SkillChip5	▢FFFFFF00无敌技能书碎片	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Чип навыка неуязвимости	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip	▢FFFFFF00ส่วน ไร้ศัตรู	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip	▢FFFFFF00Invincible skill book chip
10026019	SkillChip6	SkillChip6	▢FFFFFF00传送技能书碎片	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Чип навыка телепорта	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip	▢FFFFFF00ส่วน การรับส่ง	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip	▢FFFFFF00Teleport skill book chip
10026020	SkillChip7	SkillChip7	▢FFFFFF00黑暗技能书碎片	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip	▢FFFFFF00Чип темного навыка	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip	▢FFFFFF00ส่วน มืด	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip	▢FFFFFF00Dark skill book chip
10026021	HitTNTHint	HitTNTHint	▢FFFF0000%1s▢FF00FFFF被%2s甩锅了！	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF получил динамит от %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFFถูก%2sโยนหม้อแล้ว  	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s	▢FFFF0000%1s▢FF00FFFF gets TNT from %2s
10026022	EnterGame	EnterGame	▢FFFFFFFF%1s▢FF00FFFF进入了游戏	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF присоеденяется к игре.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFFได้เข้าเกมแล้ว	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.	▢FFFFFFFF%1s▢FF00FFFF enters the game.
10026023	GameRule	GameRule	▢FF00FFFF避开头部有TNT的玩家！如果他们攻击你，请在TNT爆炸前将TNT丢给其他玩家。	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFОстерегайтесь игроков с динамитом! Или передайте динамит другим игрокам, прежде чем вы взорветесь.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFหนีพ้นจากผู้เล่นที่มีTNTบนหัว  ถ้าพวกเขาโจมตีคุณ โปรดโยนTNTให้แก่ผู้เล่นอื่นก่อนที่มันละเบิด	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.	▢FF00FFFFGet away from players with TNT! Or pass TNT on to other players before it explodes.
10026024	GameStartNoTNT	GameStartNoTNT	▢FF00FFFF你未携带TNT，快跑！	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFВы не получили динамит, бегите!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFคุณไม่ได้นำTNTมา รีบวิ่ง  	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!	▢FF00FFFFYou didn’t carry TNT, run!
10026025	GameStartHasTNT	GameStartHasTNT	▢FF00FFFF你拥有TNT，快在它爆炸之前传给其他人！	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFВы получили динамит, отдайте его кому-нибудь прежде чем он взорвется!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFคุณมีTNT，รีบส่งให้ผู้อื่นก่อนมันละเบิด  	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!	▢FF00FFFFYou've got TNT, pass it on to someone else before it explodes!
10026026	BecomeNormalPlayer	BecomeNormalPlayer	▢FFFF0000%1s▢FF00FFFF被我甩锅了！	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF получил динамит от МЕНЯ!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFFถูกฉันโยนหม้อแล้ว  	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!	▢FFFF0000%1s▢FF00FFFF has got TNT from ME!
10026027	BoomToTarget	BoomToTarget	▢FFFFFFFF你▢FFFF0000爆炸了！	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFВЫ▢FFFF0000 были взорваны!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFคุณ▢FFFF0000ละเบิดแล้ว  	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!	▢FFFFFFFFYOU▢FFFF0000 have exploded!
10026028	BoomToAll	BoomToAll	▢FFFFFFFF%1s▢FFFF0000爆炸了！	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 был(-а) взорван	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000ละเบิดแล้ว  	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!	▢FFFFFFFF%1s▢FFFF0000 has exploded!
10026029	DeathmatchMode	DeathmatchMode	▢FFFFFF00死斗模式▢FF00FFFF开始，每回合开始所有人都会被传送到出生点！	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Смертельный режим▢FF00FFFF начинается, все игроки будут телепортированы к месту старта игры в начале каждого раунда!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00โหมดสู้ตาย▢FF00FFFFเริ่ม ทุกรอบที่จะเริ่ม ทุกคนต่างก็จะถูกส่งไปที่จุดกำเนิด  	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!	▢FFFFFF00Death mode▢FF00FFFF begins, everyone will be teleported to the point of birth at the beginning of each round!
10026030	SelectSkillHint	SelectSkillHint	▢FF00FFFF你已经选定%1s▢FF00FFFF，点击攻击键使用技能！	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFВы выбрали %1s▢FF00FFFF,нажмите на кнопку атаки чтобы использовать навык!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFคุณได้เลือก%1s▢FF00FFFF，คลิกปุ่มโจมตีเพื่อใช้ความสามารถพิเศษ  	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!	▢FF00FFFFYou have chosen the %1s▢FF00FFFF, click the attack button to use the skill!
10026031	GameData	GameData	▢FFFFFFFF回合数：▢FF00FFFF %1s ▢FFFFFFFF– 目标：%2s ▢FFFFFFFF– 存活人数：▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFРаунд: ▢FF00FFFF %1s ▢FFFFFFFF– ЦЕЛЬ: ▢FFFF0000%2s ▢FFFFFFFF– ВЫЖИВШИЕ: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFจำนวนรอบ:▢FF00FFFF %1s ▢FFFFFFFF– เป้าหมาย:%2s ▢FFFFFFFF– ส่วนเกิน:▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s	▢FFFFFFFFRound: ▢FF00FFFF %1s ▢FFFFFFFF– GOAL: ▢FFFF0000%2s ▢FFFFFFFF– SURVIVORS: ▢FF00FFFF%3s
10026032	ActionRun	ActionRun	▢FFFF0000逃跑！	▢FFFF0000RUN!	▢FFFF0000RUN!	▢FFFF0000БЕГИ!	▢FFFF0000RUN!	▢FFFF0000RUN!	▢FFFF0000RUN!	▢FFFF0000RUN!	▢FFFF0000RUN!	▢FFFF0000RUN!	▢FFFF0000วิ่งหนี  	▢FFFF0000RUN!	▢FFFF0000RUN!	▢FFFF0000RUN!
10026033	ActionAttack	ActionAttack	▢FFFF0000传给别人！	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!	▢FFFF0000ПЕРЕДАВАЙ ДИНАМИТ!	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!	▢FFFF0000ส่งให้ผู้อื่น  	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!	▢FFFF0000PASS TNT ON!
10026034	RoundStartHint	RoundStartHint	▢FFFF0000第▢FFFFFF00%1s▢FFFF0000回合开始！	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Раунд ▢FFFFFF00%1s▢FFFF0000 начинается!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000ที่▢FFFFFF00%1s▢FFFF0000เริ่ม  	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!	▢FFFF0000Round ▢FFFFFF00%1s▢FFFF0000 begins!
